135003;Pont;20.20;23.08.2024;23.08.2024
135003;Unité Piquet;00.00;23.08.2024;23.08.2024
135003;Vacances;13.00;23.08.2024;23.08.2024
138003;Heures BAL;-09.92;23.08.2024;23.08.2024
138003;Heures SUP;00.10;23.08.2024;23.08.2024
138003;Pont;20.20;23.08.2024;23.08.2024
138003;Unité Piquet;00.00;23.08.2024;23.08.2024
138003;Vacances;6.00;23.08.2024;23.08.2024
138005;Heures BAL;22.32;23.08.2024;23.08.2024
138005;Heures SUP;04.10;23.08.2024;23.08.2024
138005;Pont;22.40;23.08.2024;23.08.2024
138005;Unité Piquet;00.00;23.08.2024;23.08.2024
138005;Vacances;16.00;23.08.2024;23.08.2024
140002;Heures BAL;00.00;23.08.2024;23.08.2024
140002;Heures SUP;00.00;23.08.2024;23.08.2024
140002;Pont;00.00;23.08.2024;23.08.2024
140002;Unité Piquet;00.00;23.08.2024;23.08.2024
140002;Vacances;20.50;23.08.2024;23.08.2024
147001;Heures BAL;46.17;23.08.2024;23.08.2024
147001;Heures SUP;07.27;23.08.2024;23.08.2024
147001;Pont;19.60;23.08.2024;23.08.2024
147001;Unité Piquet;00.00;23.08.2024;23.08.2024
147001;Vacances;9.00;23.08.2024;23.08.2024
147002;Heures BAL;27.02;23.08.2024;23.08.2024
147002;Heures SUP;02.80;23.08.2024;23.08.2024
147002;Pont;19.40;23.08.2024;23.08.2024
147002;Unité Piquet;00.00;23.08.2024;23.08.2024
147002;Vacances;8.00;23.08.2024;23.08.2024
150002;Heures BAL;27.60;23.08.2024;23.08.2024
150002;Heures SUP;00.00;23.08.2024;23.08.2024
150002;Pont;17.37;23.08.2024;23.08.2024
150002;Unité Piquet;00.00;23.08.2024;23.08.2024
150002;Vacances;13.00;23.08.2024;23.08.2024
150004;Heures BAL;176.10;23.08.2024;23.08.2024
150004;Heures SUP;47.80;23.08.2024;23.08.2024
150004;Pont;21.00;23.08.2024;23.08.2024
150004;Unité Piquet;00.00;23.08.2024;23.08.2024
150004;Vacances;22.50;23.08.2024;23.08.2024
153005;Heures BAL;14.22;23.08.2024;23.08.2024
153005;Heures SUP;00.00;23.08.2024;23.08.2024
153005;Pont;11.60;23.08.2024;23.08.2024
153005;Unité Piquet;00.00;23.08.2024;23.08.2024
153005;Vacances;14.00;23.08.2024;23.08.2024
154001;Heures BAL;83.02;23.08.2024;23.08.2024
154001;Heures SUP;04.68;23.08.2024;23.08.2024
154001;Pont;20.40;23.08.2024;23.08.2024
154001;Unité Piquet;00.00;23.08.2024;23.08.2024
154001;Vacances;12.00;23.08.2024;23.08.2024
154002;Heures BAL;26.35;23.08.2024;23.08.2024
154002;Heures SUP;12.83;23.08.2024;23.08.2024
154002;Pont;20.80;23.08.2024;23.08.2024
154002;Unité Piquet;21.00;23.08.2024;23.08.2024
154002;Vacances;14.50;23.08.2024;23.08.2024
158002;Heures BAL;00.00;23.08.2024;23.08.2024
158002;Heures SUP;00.00;23.08.2024;23.08.2024
158002;Pont;00.00;23.08.2024;23.08.2024
158002;Unité Piquet;00.00;23.08.2024;23.08.2024
158002;Vacances;8.00;23.08.2024;23.08.2024
160001;Heures BAL;25.10;23.08.2024;23.08.2024
160001;Heures SUP;50.00;23.08.2024;23.08.2024
160001;Pont;14.13;23.08.2024;23.08.2024
160001;Unité Piquet;00.00;23.08.2024;23.08.2024
160001;Vacances;15.00;23.08.2024;23.08.2024
161002;Heures BAL;42.30;23.08.2024;23.08.2024
161002;Heures SUP;56.12;23.08.2024;23.08.2024
161002;Pont;19.40;23.08.2024;23.08.2024
161002;Unité Piquet;00.00;23.08.2024;23.08.2024
161002;Vacances;24.00;23.08.2024;23.08.2024
161003;Heures BAL;15.65;23.08.2024;23.08.2024
161003;Heures SUP;14.58;23.08.2024;23.08.2024
161003;Pont;19.75;23.08.2024;23.08.2024
161003;Unité Piquet;20.00;23.08.2024;23.08.2024
161003;Vacances;11.00;23.08.2024;23.08.2024
161004;Heures BAL;44.35;23.08.2024;23.08.2024
161004;Heures SUP;22.02;23.08.2024;23.08.2024
161004;Pont;18.00;23.08.2024;23.08.2024
161004;Unité Piquet;50.00;23.08.2024;23.08.2024
161004;Vacances;0.00;23.08.2024;23.08.2024
162001;Heures BAL;123.50;23.08.2024;23.08.2024
162001;Heures SUP;06.18;23.08.2024;23.08.2024
162001;Pont;19.80;23.08.2024;23.08.2024
162001;Unité Piquet;00.00;23.08.2024;23.08.2024
162001;Vacances;4.00;23.08.2024;23.08.2024
162004;Heures BAL;-15.98;23.08.2024;23.08.2024
